ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS
474,Columbia & Ontario Rd NW,31296,38.924088,-77.040787,13,10
475,Washington-Liberty High School / N Stafford St & Generals Way,31920,38.888282,-77.111066,5,10
476,Westover Library / Washington Blvd & N McKinley Rd,31921,38.886048,-77.142317,11,4
477,Columbia Pike & S Taylor St,31923,38.858524,-77.103728,3,12
478,Columbus Ave & Tribeca St,32068,39.126,-77.1673,2,9
479,Columbus Ave & Gramercy Blvd,32069,39.12333,-77.16486,6,5
480,Reston Pkwy & Spectrum Dr,32225,38.964208,-77.35428,4,11
481,Key West Ave & Great Seneca Hwy,32070,39.105642,-77.20386,3,7
482,Virginia Ave & 25th St NW,31297,38.8995,-77.054155,15,3
483,15th & M St NW,31298,38.905424,-77.034674,12,7
484,11th & Girard St NW,31126,38.925636,-77.027112,18,1
485,Connecticut Ave & R St NW,31299,38.912644,-77.04564,9,10
486,Wilson Blvd & N Troy St,31924,38.892556,-77.082089,6,9
487,American University East Campus,31320,38.936298,-77.087128,0,19
488,15th St & Constitution Ave NW,31321,38.892244,-77.033234,7,12
490,23rd & M St NW,31128,38.905303,-77.050264,19,0
491,Corporate Blvd & Omega Dr,32071,39.106971,-77.192645,3,12
492,Key West Ave & Diamondback Dr,32072,39.106152,-77.202354,6,3
493,Alabama Ave & Stanton Rd SE / Shops at Park Village,31813,38.84627,-76.98185,3,16
494,Mississippi Ave & 19th St SE / THEARC,31814,38.84377,-76.97557,14,5
495,19th & Savannah St SE,31815,38.84623,-76.97703,1,10
496,4th St & Mississippi Ave SE,31816,38.836,-77.0009,14,5
497,1st & S Capitol St SE / Oxon Run Trail,31817,38.824481,-77.005497,15,3
498,Livingston Rd & 3rd St SE,31818,38.82373,-77.00223,10,5
499,Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,31819,38.81909,-77.01033,5,13
500,37th & Ely Pl SE,31715,38.883011,-76.949709,5,10
501,15th St & Pennsylvania Ave NW,31129,38.896465,-77.033381,17,2
505,Maine Ave & 9th St SW,31646,38.88044,-77.025236,12,3
506,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,31523,38.915,-77.0078,5,14
507,Blueridge Ave & Elkin St,32073,39.04313,-77.05006,4,11
508,Georgia Ave & Kennedy St NW,31415,38.95674,-77.02791,3,14
509,7th St & Massachusetts Ave NE,31647,38.89222,-76.99602,12,7
510,Anacostia Park,31820,38.87335,-76.9834,12,6
511,Twinbrook Metro,32074,39.062041,-77.120776,4,10
512,White Flint Metro,32075,39.04753,-77.11287,3,22
513,Citadel Ave & McGrath Blvd,32076,39.049,-77.10933,1,14
514,Rockville Pike & Old Georgetown Rd,32077,39.049765,-77.11368,6,9
515,Woodglen Dr & Executive Blvd,32078,39.04317,-77.1135,4,11
516,Executive Blvd & E Jefferson St,32079,39.04873,-77.1257,9,6
517,Fishers Ln & Rock Creek Mill Rd,32080,39.0629,-77.113454,14,1
518,Congressional Ln & E Jefferson St,32081,39.06219,-77.129235,5,10
519,Garland Ave & Walden Rd,32082,39.00048,-77.00077,10,5
520,Greensboro & Pinnacle Dr,32227,38.92245,-77.23034,4,9
521,1301 McCormick Dr / Wayne K. Curry Admin Bldg,32400,38.908391,-76.843263,3,12
522,Largo Town Center Metro,32401,38.899811,-76.844604,1,15
523,Baltimore Ave & Van Buren St / Riverdale Park Station,32402,38.969581,-76.937349,6,11
524,Baltimore Ave & Jefferson St,32403,38.95548,-76.940133,6,9
525,Perry & 35th St,32404,38.936213,-76.960054,14,1
526,Rockville Pike & Meeting St,32083,39.050539,-77.115212,0,14
527,Potomac Ave & Half St SW,31648,38.870201,-77.010837,7,15
529,Crystal Dr & Potomac Ave,31925,38.848304,-77.05122,3,8
530,Largo Rd & Campus Way / Prince Georges's Comm Col,32405,38.88994,-76.825535,5,10
531,Stanton Square SE,31822,38.855004,-76.984512,5,14
532,14th & Newton St NW,31649,38.931991,-77.032956,8,11
533,48th Pl & MacArthur Blvd NW,31322,38.917304,-77.09629,4,15
534,14th & Luzon St NW,31416,38.969489,-77.033509,2,15
535,1st & M St SE,31650,38.876893,-77.006072,10,8
536,Fleet St & Waterfront St,32406,38.782633,-77.016059,9,6
537,Oxon Hill Park & Ride,32407,38.798749,-77.00103,4,10
538,11th & Park Rd NW,31651,38.931942,-77.028357,4,15
539,4th & M St SE,31652,38.876751,-77.000736,10,8
540,Kansas Ave & Sherman Cr NW,31417,38.948057,-77.021467,2,16
541,Campus Commons,32228,38.944707,-77.335425,3,8
542,Park Run & Onyx Dr,32229,38.92755,-77.226644,4,7
543,7th & K St NW,31653,38.902674,-77.021392,11,8
544,King Greenleaf Rec Center,31654,38.876211,-77.012443,10,8
545,Montello Ave & Holbrook Terr NE,31524,38.907444,-76.986813,9,10
546,New Jersey Ave & F St NW,31655,38.897108,-77.011616,12,20
547,Maryland Ave & 17th St NE,31656,38.901935,-76.978627,9,10
548,Massachusetts Ave & 6th St NE,31657,38.892934,-76.998273,6,13
549,Woodley Park Metro / Calvert St & Connecticut Ave NW,31323,38.923389,-77.051833,12,11
550,McLean Metro,32230,38.924002,-77.208127,15,3
551,Trinidad Rec Center,31525,38.906299,-76.983221,10,9
552,Rosedale Rec Center,31658,38.897808,-76.979634,9,10
553,11th & C St SE,31659,38.885908,-76.991476,6,12
554,New Hampshire & Gallatin St NW,31418,38.951596,-77.012808,14,5
555,United Medical Center,31823,38.835737,-76.983144,3,15
556,18th & New Hampshire Ave NW,31324,38.911268,-77.041829,10,9
560,Dunn Loring Metro,32231,38.8828,-77.2283,15,3
561,Oglethorpe St & 42nd Ave,32408,38.959361,-76.946361,10,5
562,Southern Ave Metro,32409,38.840107,-76.9753,1,13
563,Queens Chapel & Hamilton St,32410,38.9546,-76.9595,14,1
564,Northwestern High School,32411,38.975505,-76.952199,6,9
565,New Hampshire Ave & East-West Hwy,32412,38.974205,-76.995227,14,1
566,Rhode Island Ave & 39th St / Brentwood Arts Exchange,32413,38.939271,-76.955047,8,7
567,Riggs Rd & East West Hwy,32414,38.9725,-76.9807,11,6
568,Tanger Outlets,32415,38.7968,-77.0026,10,4
569,Chillum Rd & Riggs Rd / Riggs Plaza,32416,38.961737,-76.995922,5,10
570,Hyattsville Library / Adelphi Rd & Toledo Rd,32417,38.9698,-76.9493,10,5
571,George Mason High School / Haycock Rd & Leesburg Pike,32600,38.895172,-77.190275,5,6
572,State Theatre / Park Pl & N Washington St,32601,38.882746,-77.170032,4,8
573,N Oak St & W Broad St,32602,38.88837,-77.179832,0,12
574,Pennsylvania Ave & Park Ave,32603,38.887403,-77.176992,9,3
575,E Fairfax St & S Washington St,32604,38.880612,-77.171891,5,7
576,N Roosevelt St & Roosevelt Blvd,32606,38.878085,-77.153953,12,0
577,W Broad St & Little Falls St,32605,38.883601,-77.173438,4,8
578,S Maple Ave & S Washington St,32607,38.87972,-77.178408,3,9
579,Falls Church City Hall / Park Ave & Little Falls St,32608,38.885434,-77.173605,2,10
580,W Columbia St & N Washington St,32609,38.885621,-77.166917,3,9
581,West Falls Church Metro,32232,38.9001,-77.1887,2,17
582,Jones Branch Drive & Scotts Crossing Rd,32233,38.928502,-77.215624,6,5
583,Georgia Ave & Morton St NW,31419,38.932128,-77.0235,19,0
584,Merrilee Dr & Lauren Elizabeth Lane,32234,38.879355,-77.230681,11,0
585,Merrifield Cinema & Merrifield Town Center,32235,38.870093,-77.22997,4,7
586,Rhode Island & Montana Ave NE,31526,38.9243,-76.9859,8,11
587,7th & S St NW,31130,38.914204,-77.022175,12,7
588,North Capitol & R St NE,31527,38.912524,-77.008798,6,7
589,17th & Upshur St NW,31420,38.942146,-77.038684,6,12
590,Grant Circle,31421,38.942025,-77.018221,5,14
591,14th & Otis Pl NW,31131,38.934405,-77.032687,9,10
592,John McCormack Rd NE,31528,38.938889,-76.997226,4,15
593,West Hyattsville Metro,32418,38.955349,-76.968084,14,2
594,Capitol Heights Metro,32419,38.888524,-76.913188,1,18
595,Prince George's Plaza Metro,32420,38.965742,-76.954803,0,17
596,Riverdale Park Town Center,32421,38.962119,-76.935578,16,1
597,The Mall at Prince Georges,32422,38.968842,-76.954171,4,13
598,Wheaton Library & Community Rec Center,32084,39.047323,-77.051097,3,8
599,Edgewood Rec Center,31529,38.924144,-77.002098,7,8
601,8th & K St NE,31660,38.902732,-76.99515,4,11
602,Kingman Island/The Fields at RFK,31716,38.895955,-76.967845,16,3
603,Kenilworth Terrace & Hayes St. NE,31717,38.900468,-76.947287,12,7
604,National Harbor Carousel,32423,38.7859,-77.0167,6,9
605,Valley Ave & Wheeler Rd SE,31824,38.836646,-76.993589,8,10
606,Ridge Rd Community Center,31718,38.876227,-76.940981,3,16
607,Fort Stanton Rec Center,31825,38.857369,-76.977688,0,18
608,Reservoir Rd & 38th St NW,31325,38.912614,-77.074323,4,13
609,22nd & H St NW,31127,38.898925,-77.048852,0,17
610,8th & H St NE,31661,38.899942,-76.994897,16,3
